"","Fortified","Drywhite","Sweetwhite","Red","Rose","Sparkling","Total"
"91",4041,3254,523,2100,87,1847,33151
"92",3402,2895,468,2062,73,1930,24878
"93",2898,3263,428,2012,101,2638,26804
"94",2555,3736,520,1897,100,3114,28967
"95",3056,4077,493,1964,96,4405,33311
"96",3717,4097,662,2186,157,7242,40226
"97",1755,2175,304,966,63,1853,20504
"98",2193,3138,308,1549,115,1779,23060
"99",2198,2823,313,1538,70,2108,23562
"100",2777,2498,328,1612,66,2336,27562
"101",3076,2822,354,2078,67,1728,23940
"102",3389,2738,338,2137,83,1661,24584
"103",4231,4137,483,2907,79,2230,34303
"104",3118,3515,355,2249,77,1645,25517
"105",2524,3785,439,1883,102,2421,23494
"106",2280,3632,290,1739,116,3740,29095
"107",2862,4504,352,1828,100,4988,32903
"108",3502,4451,454,1868,135,6757,34379
"109",1558,2550,306,1138,71,1757,16991
"110",1940,2867,303,1430,60,1394,21109
"111",2226,3458,344,1809,89,1982,23740
"112",2676,2961,254,1763,74,1650,25552
"113",3145,3163,309,2200,73,1654,21752
"114",3224,2880,310,2067,91,1406,20294
"115",4117,3331,379,2503,86,1971,29009
"116",3446,3062,294,2141,74,1968,25500
"117",2482,3534,356,2103,87,2608,24166
"118",2349,3622,318,1972,87,3845,26960
"119",2986,4464,405,2181,109,4514,31222
"120",3163,5411,545,2344,137,6694,38641
"121",1651,2564,268,970,43,1720,14672
"122",1725,2820,243,1199,69,1321,17543
"123",2622,3508,273,1718,73,1859,25453
"124",2316,3088,273,1683,77,1628,32683
"125",2976,3299,236,2025,69,1615,22449
"126",3263,2939,222,2051,76,1457,22316
"127",3951,3320,302,2439,78,1899,27595
"128",2917,3418,285,2353,70,1605,25451
"129",2380,3604,309,2230,83,2424,25421
"130",2458,3495,322,1852,65,3116,25288
"131",2883,4163,362,2147,110,4286,32568
"132",2579,4882,471,2286,132,6047,35110
"133",1330,2211,198,1007,54,1902,16052
"134",1686,3260,253,1665,55,2049,22146
"135",2457,2992,173,1642,66,1874,21198
"136",2514,2425,186,1518,65,1279,19543
"137",2834,2707,185,1831,60,1432,22084
"138",2757,3244,105,2207,65,1540,23816
"139",3425,3965,228,2822,96,2214,29961
"140",3006,3315,214,2393,55,1857,26773
"141",2369,3333,189,2306,71,2408,26635
"142",2017,3583,270,1785,63,3252,26972
"143",2507,4021,277,2047,74,3627,30207
"144",3168,4904,378,2171,106,6153,38687
"145",1545,2252,185,1212,34,1577,16974
"146",1643,2952,182,1335,47,1667,21697
"147",2112,3573,258,2011,56,1993,24179
"148",2415,3048,179,1860,53,1997,23757
"149",2862,3059,197,1954,53,1783,25013
"150",2822,2731,168,2152,55,1625,24019
"151",3260,3563,250,2835,67,2076,30345
"152",2606,3092,211,2224,52,1773,24488
"153",2264,3478,260,2182,46,2377,25156
"154",2250,3478,234,1992,51,3088,25650
"155",2545,4308,305,2389,58,4096,30923
"156",2856,5029,347,2724,91,6119,37240
"157",1208,2075,203,891,33,1494,17466
"158",1412,3264,217,1247,40,1564,19463
"159",1964,3308,227,2017,46,1898,24352
"160",2018,3688,242,2257,45,2121,26805
"161",2329,3136,185,2255,41,1831,25236
"162",2660,2824,175,2255,55,1515,24735
"163",2923,3644,252,3057,57,2048,29356
"164",2626,4694,319,3330,54,2795,31234
"165",2132,2914,202,1896,46,1749,22724
"166",1772,3686,254,2096,52,3339,28496
"167",2526,4358,336,2374,48,4227,32857
"168",2755,5587,431,2535,77,6410,37198
"169",1154,2265,150,1041,30,1197,13652
"170",1568,3685,280,1728,35,1968,22784
"171",1965,3754,187,2201,42,1720,23565
"172",2659,3708,279,2455,48,1725,26323
"173",2354,3210,193,2204,44,1674,23779
"174",2592,3517,227,2660,45,1693,27549
"175",2714,3905,225,3670,NA,2031,29660
"176",2294,3670,205,2665,NA,1495,23356
"177",2416,4221,259,2639,46,2968,NA
"178",2016,4404,254,2226,51,3385,NA
"179",2799,5086,275,2586,63,3729,NA
"180",2467,5725,394,2684,84,5999,NA
"181",1153,2367,159,1185,30,1070,NA
"182",1482,3819,230,1749,39,1402,NA
"183",1818,4067,188,2459,45,1897,NA
"184",2262,4022,195,2618,52,1862,NA
"185",2612,3937,189,2585,28,1670,NA
"186",2967,4365,220,3310,40,1688,NA
"187",3179,4290,274,3923,62,2031,NA
